cuisine,avg_rating,std_rating,review_count,avg_sentiment
Coffee & Tea,4.045098204501391,1.2939633680836615,23726,0.7740032032369553
Mexican,4.04183734939759,1.2951550745447817,33200,0.7644578313253012
Poke,4.041666666666667,1.346141642296904,984,0.75
Vegan,4.038516405135521,1.3503423490836601,4907,0.7562665579783983
Tacos,4.033858531679518,1.296662850407904,5966,0.7720415688903788
Gluten-Free,4.031821906582901,1.3497502131859984,7322,0.7607211144496039
Peruvian,4.026315789473684,1.3068711353906528,152,0.7039473684210527
Argentine,4.0181818181818185,1.241350390633901,110,0.7545454545454545
Desserts,4.018022056845692,1.2897683096413317,11153,0.7592575988523267
Ice Cream & Frozen Yogurt,4.0147515527950315,1.2957644879193633,2576,0.7666925465838509
Food,4.01269690287806,1.312047449564709,69387,0.7622465303298889
Cafes,4.0070120442171255,1.2595777436988762,12122,0.7707474014189077
Fondue,4.0,0.8944271909999159,11,0.6363636363636364
Hawaiian,3.995576444567321,1.2415565744785162,3617,0.766104506497097
Cannabis Clinics,3.9947780678851177,1.215077137723033,383,0.7467362924281984
Indian,3.993606509735542,1.3758569573954356,3441,0.7471665213600698
Chicken Shop,3.992814877430262,1.294136696727446,2366,0.7362637362637363
Breakfast & Brunch,3.9894479446622904,1.2885942284935579,45394,0.7595937789135128
Music Venues,3.9890625,1.3209820768582619,1280,0.7828125
Fish & Chips,3.985857500895095,1.2011545283590448,5586,0.7703186537773004
Diners,3.9784795321637425,1.329273387648564,4275,0.7585964912280702
Asian Fusion,3.975487679671458,1.3387924828484783,7792,0.7347279260780287
Ethnic Food,3.9751461988304095,1.3102688721762494,684,0.7573099415204678
Bagels,3.967125721901377,1.3674903702152437,2251,0.751221679253665
Salad,3.9655713870311136,1.320105579233534,17195,0.7440535039255598
Local Flavor,3.9579913085465956,1.250187472674653,2071,0.7687107677450506
Belgian,3.9548532731376973,1.2701739160701786,443,0.7629796839729119
Health & Medical,3.9532908704883227,1.2757746075451182,471,0.7473460721868365
Dive Bars,3.9516129032258065,1.2310363376269147,310,0.7677419354838709
Restaurants,3.9402143568746375,1.3376650928076392,182686,0.7404234588309997
Karaoke,3.934369602763385,1.4040882256861202,579,0.7253886010362695
Australian,3.9343434343434343,1.4233966589966611,396,0.7247474747474747
Indonesian,3.932926829268293,1.363464636655117,492,0.717479674796748
Seafood,3.9275737623625995,1.2932537012723484,36299,0.7402958759194468
Thai,3.926463231615808,1.2968640791747033,3998,0.7388694347173587
Grocery,3.915846994535519,1.4031598405333405,1830,0.7557377049180328
Brewpubs,3.915704387990762,1.3705857857495038,1732,0.7448036951501155
Greek,3.9035087719298245,1.3836694371116005,684,0.7119883040935673
Live/Raw Food,3.899250936329588,1.2674999808780705,2670,0.7265917602996255
Food Delivery Services,3.8949880668257757,1.3945561321896165,1676,0.7189737470167065
Scandinavian,3.8899733806566106,1.3812872401452623,1127,0.7391304347826086
Himalayan/Nepalese,3.8787061994609164,1.4365327805741726,371,0.7115902964959568
Burgers,3.8784480690813146,1.363710746698632,16676,0.7282921563924203
Modern European,3.8774302620456464,1.3739254801623864,1183,0.7362637362637363
Japanese,3.872559392132346,1.373432199139958,10397,0.7178993940559777
American (Traditional),3.8713040240762,1.3391427914228085,32231,0.7329589525611988
Tuscan,3.8688760806916425,1.368090127314154,694,0.7046109510086456
Halal,3.85546875,1.364424057544524,512,0.720703125
Pizza,3.8486517012565296,1.4375212332259943,14166,0.7071862205280248
Delicatessen,3.8461538461538463,1.344504484072964,13,0.7692307692307693
Southern,3.8453237410071943,1.2302062655723625,1112,0.7437050359712231
Comedy Clubs,3.841463414634146,1.271428788926715,82,0.7682926829268293
Steakhouses,3.841314935064935,1.360321737374959,7392,0.7145562770562771
Lounges,3.840841584158416,1.3287031746860776,4040,0.723019801980198
Italian,3.8342274322802834,1.4121530134731246,15099,0.7052784952645871
Club Crawl,3.819277108433735,1.5306530855161382,166,0.6746987951807228
Macarons,3.8076923076923075,1.4147467249037695,52,0.7115384615384616
Vegetarian,3.7975501413379997,1.385531602221893,7429,0.7054785300848028
Do-It-Yourself Food,3.792843691148776,1.3354476360864895,531,0.7401129943502824
Creperies,3.7915904936014626,1.3749734038523815,547,0.7129798903107861
Imported Food,3.789473684210526,1.2767758112768801,38,0.5789473684210527
Chicken Wings,3.7768963807635103,1.4989215680838108,4034,0.6869112543381259
Sushi Bars,3.76392811296534,1.4137987968935797,7790,0.6933247753530167
Irish Pub,3.7590361445783134,1.2561640642294336,166,0.7168674698795181
Food Court,3.75,1.318877029794025,72,0.7361111111111112
British,3.737827715355805,1.282949141370377,534,0.7116104868913857
Barbeque,3.722790138304269,1.465637740788297,3326,0.6656644618159951
Pasta Shops,3.717391304347826,1.4244805257620068,92,0.6739130434782609
Buffets,3.7042944785276073,1.4390717427367663,815,0.6809815950920245
Noodles,3.704266321913381,1.4208738635878977,3094,0.667420814479638
Basque,3.68,1.5444436287702377,50,0.7
Tea Rooms,3.6774193548387095,1.3975411886125744,279,0.6881720430107527
Hot Pot,3.6697936210131332,1.5352277373236698,533,0.6172607879924953
Hookah Bars,3.653907496012759,1.3600283817248349,627,0.696969696969697
Bubble Tea,3.6507402422611035,1.4777000937164861,2972,0.6601615074024226
Szechuan,3.648129423660263,1.522286874200168,989,0.6370070778564206
Tex-Mex,3.6238130021913806,1.412988955925579,1369,0.6888239590942293
Gelato,3.6226130653266333,1.4603150572377617,1990,0.6638190954773869
Fast Food,3.6224844720496896,1.5789068967216582,8050,0.6470807453416149
Herbal Shops,3.619718309859155,1.5340534278561164,71,0.7183098591549296
Wraps,3.6094890510948905,1.62761801332978,274,0.6021897810218978
Boating,3.6,1.51657508881031,5,0.8
Chinese,3.5994152046783627,1.4967157124555137,5814,0.6357069143446853
Pakistani,3.55985598559856,1.451240406679716,1111,0.6525652565256526
Golf,3.5491803278688523,1.516315995634839,122,0.6475409836065574
Active Life,3.5057471264367814,1.5422644054697552,174,0.632183908045977
Soup,3.494266392237577,1.4285058210518438,3401,0.6277565421934725
Hong Kong Style Cafe,3.475,1.4199212902792309,120,0.6166666666666667
Meat Shops,3.4595141700404857,1.5036738534696057,494,0.6477732793522267
Dim Sum,3.396511627906977,1.5349212229025164,860,0.5790697674418605
Vietnamese,3.390279114533205,1.4419406689209813,2078,0.5933589990375361
Hotels & Travel,3.382978723404255,1.635917393063834,47,0.574468085106383
Beaches,3.382978723404255,1.635917393063834,47,0.574468085106383
Social Clubs,3.0833333333333335,1.4433756729740645,12,0.5833333333333334
Mongolian,3.071129707112971,1.4606761341309238,239,0.5104602510460251
Ethnic Grocery,3.0526315789473686,1.5930146233877358,38,0.5263157894736842
Cantonese,3.024793388429752,1.502213083422554,242,0.4628099173553719
Butcher,2.925925925925926,1.6390880655442788,27,0.5555555555555556
