cuisine,avg_rating,positive_sentiment,review_count,median_price,rank_score
Ice Cream & Frozen Yogurt,4.0147515527950315,76.66925465838509,2576,2.0,0.5644556333731934
Hawaiian,3.995576444567321,76.6104506497097,3617,2.0,0.5644115385445161
Donuts,4.052863436123348,76.06461086637299,1362,1.0,0.5637828610269323
Diners,3.9784795321637425,75.85964912280701,4275,2.0,0.5618334369857737
Food Trucks,4.111888111888112,74.12587412587412,143,1.0,0.560819698836196
Asian Fusion,3.975487679671458,73.47279260780287,7792,2.0,0.5602022679520328
Local Flavor,3.9579913085465956,76.87107677450507,2071,2.0,0.5595632164129988
Poke,4.041666666666667,75.0,984,2.0,0.5590473448010423
Indian,3.993606509735542,74.71665213600699,3441,2.0,0.558279093226401
Argentine,4.0181818181818185,75.45454545454545,110,2.0,0.557044077406418
Dive Bars,3.9516129032258065,76.77419354838709,310,1.0,0.5558560887807228
Bagels,3.967125721901377,75.1221679253665,2251,1.0,0.5553633944027154
Ethnic Food,3.9751461988304095,75.73099415204678,684,2.0,0.5552762981975141
Belgian,3.9548532731376973,76.2979683972912,443,2.0,0.5549123448003896
Cannabis Clinics,3.9947780678851177,74.67362924281984,383,2.0,0.5532246551959457
Chicken Shop,3.992814877430262,73.62637362637363,2366,2.0,0.5531778209756144
Pizza,3.8486517012565296,70.71862205280249,14166,2.0,0.55197450013319
Grocery,3.915846994535519,75.57377049180329,1830,2.0,0.5518091210941614
Italian,3.8342274322802834,70.52784952645871,15099,2.0,0.5517479079297577
Thai,3.926463231615808,73.88694347173586,3998,2.0,0.551182044154609
Japanese,3.872559392132346,71.78993940559776,10397,2.0,0.5509655772093766
Health & Medical,3.9532908704883227,74.73460721868365,471,2.0,0.5501397324906508
Brewpubs,3.915704387990762,74.48036951501155,1732,2.0,0.5483562567489698
Delicatessen,3.8461538461538463,76.92307692307693,13,1.0,0.5471408952250396
Comedy Clubs,3.841463414634146,76.82926829268293,82,1.0,0.5465869854404439
Scandinavian,3.8899733806566106,73.91304347826086,1127,2.0,0.5435443674516923
Live/Raw Food,3.899250936329588,72.65917602996255,2670,2.0,0.5430797100073061
Peruvian,4.026315789473684,70.39473684210526,152,2.0,0.542602650313213
Steakhouses,3.841314935064935,71.4556277056277,7392,2.0,0.5424580550086386
Karaoke,3.934369602763385,72.53886010362694,579,1.0,0.5421735498893259
Modern European,3.8774302620456464,73.62637362637363,1183,2.0,0.5417446338852888
Australian,3.9343434343434343,72.47474747474747,396,3.0,0.54167854398297
Southern,3.8453237410071943,74.37050359712231,1112,2.0,0.541219634195577
Indonesian,3.932926829268293,71.7479674796748,492,2.0,0.5395393342454514
Lounges,3.840841584158416,72.3019801980198,4040,2.0,0.5394536519683302
Food Delivery Services,3.8949880668257757,71.89737470167064,1676,2.0,0.5388113714030522
Vegetarian,3.7975501413379997,70.54785300848027,7429,2.0,0.536195789261216
Greek,3.9035087719298245,71.19883040935673,684,2.0,0.535787551077188
Do-It-Yourself Food,3.792843691148776,74.01129943502825,531,2.0,0.534871384712531
