date,avg_sentiment,review_count
2008-01-18,1.0,1
2008-01-19,0.6,5
2008-01-20,1.0,5
2008-01-21,0.75,8
2008-01-22,0.5,2
2008-01-23,0.0,2
2008-01-25,0.6666666666666666,3
2008-01-26,0.8333333333333334,6
2008-01-27,1.0,4
2008-01-28,0.3333333333333333,3
2008-01-29,0.6666666666666666,6
2008-01-30,0.6666666666666666,6
2008-02-02,0.5,2
2008-02-03,0.5,4
2008-02-04,0.75,4
2008-02-05,0.5,2
2008-02-06,1.0,7
2008-02-07,1.0,1
2008-02-08,1.0,1
2008-02-09,1.0,1
2008-02-11,1.0,12
2008-02-12,0.5,4
2008-02-13,0.6666666666666666,12
2008-02-14,0.9,10
2008-02-16,1.0,2
2008-02-18,1.0,5
2008-02-19,0.6666666666666666,9
2008-02-20,0.8,5
2008-02-21,0.5714285714285714,7
2008-02-22,1.0,3
2008-02-24,0.0,1
2008-02-25,0.8333333333333334,6
2008-02-26,0.75,4
2008-02-27,1.0,1
2008-02-28,0.0,1
2008-02-29,1.0,2
2008-03-01,1.0,3
2008-03-02,1.0,1
2008-03-03,1.0,5
2008-03-04,0.8571428571428571,7
2008-03-05,0.6666666666666666,3
2008-03-06,0.3333333333333333,6
2008-03-07,1.0,1
2008-03-08,1.0,5
2008-03-09,0.8888888888888888,9
2008-03-10,1.0,11
2008-03-11,0.8333333333333334,6
2008-03-12,0.7142857142857143,7
2008-03-13,0.25,4
2008-03-14,0.625,8
2008-03-15,1.0,3
2008-03-16,0.75,8
2008-03-17,0.3333333333333333,6
2008-03-18,1.0,4
2008-03-19,0.5,2
2008-03-20,0.8,5
2008-03-21,1.0,1
2008-03-22,0.5,4
2008-03-23,0.0,1
2008-03-24,1.0,1
2008-03-25,0.8333333333333334,12
2008-03-26,0.7142857142857143,7
2008-03-27,0.7142857142857143,7
2008-03-28,0.5,2
2008-03-29,0.8,5
2008-03-30,0.8333333333333334,6
2008-03-31,0.8,5
2008-04-01,1.0,1
2008-04-02,1.0,4
2008-04-03,1.0,3
2008-04-04,0.5,2
2008-04-05,1.0,1
2008-04-06,0.6666666666666666,3
2008-04-07,1.0,4
2008-04-08,0.7142857142857143,7
2008-04-09,0.75,8
2008-04-10,1.0,1
2008-04-11,1.0,1
2008-04-12,1.0,3
2008-04-13,1.0,2
2008-04-14,1.0,7
2008-04-15,1.0,1
2008-04-16,0.6,5
2008-04-17,0.0,2
2008-04-18,0.8333333333333334,6
2008-04-19,0.8571428571428571,7
2008-04-20,0.4,5
2008-04-21,0.6666666666666666,6
2008-04-22,1.0,3
2008-04-23,0.5,6
2008-04-25,0.5,6
2008-04-27,1.0,4
2008-04-28,0.8,10
2008-04-29,1.0,9
2008-04-30,0.625,8
2008-05-01,1.0,3
2008-05-02,0.6666666666666666,6
2008-05-03,0.5,2
2008-05-04,1.0,1
2008-05-05,0.42857142857142855,7
2008-05-06,0.45454545454545453,11
2008-05-07,0.8,15
2008-05-08,1.0,5
2008-05-09,0.6666666666666666,9
2008-05-10,0.5,2
2008-05-11,1.0,11
2008-05-12,0.631578947368421,19
2008-05-13,0.75,4
2008-05-14,0.7142857142857143,7
2008-05-15,0.8333333333333334,6
2008-05-16,0.625,8
2008-05-17,0.75,4
2008-05-18,0.6666666666666666,3
2008-05-19,0.8571428571428571,7
2008-05-20,0.6666666666666666,3
2008-05-21,0.8,10
2008-05-23,0.0,1
2008-05-24,0.3333333333333333,3
2008-05-25,0.5,4
2008-05-26,0.6,10
2008-05-27,0.8888888888888888,9
2008-05-28,0.8333333333333334,6
2008-05-29,0.5,6
2008-05-30,0.75,4
2008-05-31,0.5,2
2008-06-01,0.8333333333333334,6
2008-06-02,0.625,8
2008-06-03,1.0,3
2008-06-04,0.5,4
2008-06-05,0.5,4
2008-06-06,0.6666666666666666,3
2008-06-07,1.0,2
2008-06-08,0.7142857142857143,7
2008-06-09,0.8571428571428571,7
2008-06-10,0.5,12
2008-06-11,0.8333333333333334,6
2008-06-12,0.875,8
2008-06-13,0.8,10
2008-06-14,1.0,2
2008-06-15,0.7777777777777778,9
2008-06-16,0.75,8
2008-06-17,0.7272727272727273,11
2008-06-18,0.7272727272727273,11
2008-06-19,1.0,6
2008-06-20,0.8,10
2008-06-21,0.0,2
2008-06-22,1.0,3
2008-06-23,0.8260869565217391,23
2008-06-24,0.42857142857142855,7
2008-06-25,0.9333333333333333,15
2008-06-26,0.6363636363636364,11
2008-06-27,1.0,1
2008-06-28,1.0,4
2008-06-29,1.0,1
2008-06-30,0.8,15
